timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733209602,115,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-2,text,true,,778,1052,5,5,http://localhost/wp-admin/admin-ajax.php,115,0,0
1788733212027,108,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,778,1052,5,5,null,0,4,0
1788733212028,108,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-3,text,true,,778,1052,5,5,http://localhost/wp-admin/admin-ajax.php,108,0,0
1788733212919,66,S01_Browse_And_Checkout_T10_FillCheckoutFields,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,612,959,5,5,null,0,1,0
1788733212920,66,FillCheckoutFields,200,OK,S01_Browse_And_Checkout 1-4,text,true,,612,959,5,5,http://localhost/wp-admin/admin-ajax.php,66,0,0
1788733212943,111,S01_Browse_And_Checkout_T07_AddChairToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,778,1082,5,5,null,0,4,0
1788733212944,111,AddChairToCart,200,OK,S01_Browse_And_Checkout 1-5,text,true,,778,1082,5,5,http://localhost/wp-admin/admin-ajax.php,111,0,0
1788733213325,191,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,53066,598,5,5,null,0,6,0
1788733213328,191,OpenApplication,200,OK,S01_Browse_And_Checkout 1-2,text,true,,53066,598,5,5,http://localhost/,180,0,0
1788733213272,249,S01_Browse_And_Checkout_T11_SubmitOrder,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,508,6575,5,5,null,0,3,0
1788733213275,249,SubmitOrder,302,Found,S01_Browse_And_Checkout 1-1,text,true,,508,6575,5,5,http://localhost/checkout,249,0,0
1788733215523,162,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,50851,763,5,5,null,0,2,0
1788733215524,162,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-2,text,true,,50851,763,5,5,http://localhost/tables,161,0,0
1788733215597,151,S01_Browse_And_Checkout_T05_NavigateToChairs,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,46976,786,5,5,null,0,1,0
